filelink	include	beginn	ende	dauer_norm	dauer_cat	dauer_bemerkung	gehalt_norm	gehalt_text	umfang_text	umfang_prozent	umfang_sws	sws_äqv	jahr	datum	domain	domain_lit	domain_ling	domain_mkw	domain_fdid	domain_spr	domain_other	domain_count	lang	lang_frz	lang_spa	lang_ita	lang_por	lang_rom	lang_okz	lang_kat	lang_eng	lang_other	lang_diverse	lang_count	lang_string	title	pos_lektorat	pos_lfba	pos_rat	pos_projekt	pos_wma	pos_diss	pos_postdoc	pos_fellow	pos_whk	pos_other	pos_string	pos_no	stadt	land
https://romanistik.de/aktuelles/1677	1	2016-10-01	2018-09-30	24	~24		E13	TV-L E 13	50% / 9 SWS	50	9	18	2016	22. April 2016	Sprachpraxis	0	0	0	0	1	0	1	Französisch	1	0	0	0	0	0	0	0	0	0	1	frz	Lektorin/Lektor für Französisch	1	0	0	0	0	0	0				Lektorat	1	Augsburg	DE
https://romanistik.de/aktuelles/1969	1	2016-12-09	2017-02-28	3	1-6	Vertretung	E13	13 TV-L	39,8	100	k.A.	N/A	2016	22. September 2016	Sprachpraxis	0	0	0	0	1	0	1	Französisch	1	0	0	0	0	0	0	0	0	0	1	frz	Lektorin/Lektor für Französisch	1	0	0	0	0	0	0				Lektorat	1	Göttingen	DE
https://romanistik.de/aktuelles/1828.html	0	2016-10-01	2017-09-30	12	~12			bis TV-L E 13	50% / 9 SWS	50	9	18	2016	23. Juni 2016	Sprachpraxis	0	0	0	0	1	0	1	Spanisch	0	1	0	0	0	0	0	0	0	0	1	spa	Spanisch-Lektorat (0,5 Stelle)	1	0	0	0	0	0	0				Lektorat	1	N/A	OTHER
https://romanistik.de/aktuelles/1690	1	2016-11-01	N/A	120	unb.	unbefristet	E13	bis TV-L E 13	100% / 16 SWS	100	16	16	2016	26. April 2016	Sprachpraxis	0	0	0	0	1	0	1	Italienisch	0	0	1	0	0	0	0	0	0	0	1	ita	Lektor/in Italienisch (100%, TV-L 13)	1	0	0	0	0	0	0				Lektorat	1	Düsseldorf	DE
https://romanistik.de/aktuelles/1879	1	2016-10-01	N/A	120	unb.	unbefristet	E13	13 TV-L	19,5	50	8	16	2016	27. Juli 2016	Sprachwissenschaft	0	1	0	0	0	0	1	Französisch	1	0	0	0	0	0	0	0	0	0	1	frz	Lektor_in für Französisch / Wissenschaftliche Mitarbeiter_in mit Dienstleistungen ausschließlich in der Lehre	1	0	0	0	0	0	0				Lektorat	1	Universität Hamburg	DE
https://romanistik.de/aktuelles/1697	1	2016-09-09	2017-03-08	7	~12		E13	bis TV-L E 13	100% / 16 SWS	100	16	16	2016	28. April 2016	Medien-/Kulturwissenschaft, Sprachpraxis	0	0	1	0	1	0	2	Französisch	1	0	0	0	0	0	0	0	0	0	1	frz	Lektor/Lektorin für Französisch (Elternzeitvertretung)	1	0	0	0	0	0	0				Lektorat	1	Rostock	DE
https://romanistik.de/aktuelles/2077.html	0	N/A	N/A	N/A	other			N/A	N/A	N/A	N/A	N/A	2016	28. Oktober 2016	Medien-/Kulturwissenschaft, Sprachpraxis	0	0	1	0	1	0	2	Französisch, Italienisch, Portugiesisch, Rumänisch, Spanisch	1	1	1	1	1	0	0	0	0	0	5	mult	DAAD-Lektorinnen und Lektoren für Hochschulen im Ausland	1	0	0	0	0	0	0				Lektorat	1	Verschiedene Ort	OTHER
https://romanistik.de/aktuelles/2533	1	2019-10-01	2021-09-30	24	~24		E13	13 TV-L.	100%	100	18	18	2017	01. Juni 2017	Sprachpraxis	0	0	0	0	1	0	1	Spanisch	0	1	0	0	0	0	0	0	0	0	1	spa	Lektorin / Lektor für Spanisch	1	0	0	0	0	0	0				Lektorat	1	Augsburg	DE
https://romanistik.de/aktuelles/2539	1	2018-04-01	N/A	120	unb.	unbefristet	E13	TV-L 13	100 %	100	12	12	2017	02. Juni 2017	Medien-/Kulturwissenschaft, Sprachpraxis	0	0	1	0	1	0	2	Französisch	1	0	0	0	0	0	0	0	0	0	1	frz	Poste de Lecteur / Lectrice de langue française (Université de Stuttgart)	1	0	0	0	0	0	0				Lektorat	1	Stuttgart	DE
https://romanistik.de/aktuelles/2538	1	2018-04-01	N/A	120	unb.	unbefristet	E13	TV-L 13	100 %	100	12	12	2017	04. Juni 2017	Medien-/Kulturwissenschaft, Sprachpraxis	0	0	1	0	1	0	2	Französisch	1	0	0	0	0	0	0	0	0	0	1	frz	Lektorin/Lektor für Französisch (Universität Stuttgart)	1	0	0	0	0	0	0				Lektorat	1	Stuttgart	DE
